reqalts , what about spanish food
inform , south part of town
inform , what about a restaurant that serves vietnamese
thankyou , okay thank you good bye
thankyou , thank you good bye
null , noise
inform , expensive restaurant
bye , goodbye
null , serve
null , noise
request , what price range
request , postcode
request , what is the post code
inform , im looking for a moderately priced restaurant
request , what is their address
inform , i would like to find a moderately priced restaurant in the east part of
null , what
request , whats the address
inform , christmas
request , and what type of food do they serve
inform , spanish food
request , whats the cost
inform , asian oriental
inform , dont care
thankyou , thank you good bye
request , could have the phone number
